name,medical_insurance,infectivity,therapy,cure_rate,treatment_cycle,throng,cost,online_to_buy_medicine
链球菌坏死,否,无传染性,药物治疗、支持治疗、手术治...,85%,4-6周,好发于四肢有创伤者,市三甲医院约（800——2000元）,健客大药房康德乐大药房阿康大药房
铬及其化合物引起的皮肤病,否,无传染性,药物治疗,705,3-5周,成年人,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
丹吉尔病,否,无传染性,饮食治疗、药物治疗,无法根治，以对症治疗为主,终身间歇性治疗,纯型合子者,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
钱币状掌跖角化病,否,无传染性,中医药物治疗、西医药物治疗,30%,7--21天,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
须部假毛囊炎,否,无传染性,西医药物治疗,65%-80%,1-3个月,所有人群,市三甲医院约(500--3000元),健客大药房康德乐大药房阿康大药房
后天性大疱性表皮松解,否,无传染性,中医药物治疗、西医药物治疗,60%,3个月,成年人,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
蕈样真菌病和Sezary综合征,否,无传染性,支持疗法,40%,30天,所有人群,市三甲医院约（50000——100000元）,健客大药房康德乐大药房阿康大药房
非梭状芽胞杆菌肌坏死,否,无传染性,药物治疗、手术治疗,40%,3个月,所有人群,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
新生儿皮下脂肪坏死,否,无传染性,饮食治疗,50%,1个月,新生儿,市三甲医院约（500——3000元）,健客大药房康德乐大药房阿康大药房
婴儿肢端脓疱病,否,无传染性,中医药物治疗、西医药物治疗,65%-80%,3-6个月,黑人婴幼儿,市三甲医院约（500——3000元）,健客大药房康德乐大药房阿康大药房
多杀巴斯德杆菌病,否,无传染性,药物治疗,90%,3-6周,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
对苯二胺皮炎,否,无传染性,药物治疗,60%,1-3个月,所有人群,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
药物反应性甲病,否,无传染性,支持疗法,治愈率20%,>30天,正在用大剂量氯唑西林和头孢...,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
进行性肢端黑变病,否,无传染性,药物治疗,20%,Null,婴幼儿,市三甲医院约4000-5000元,健客大药房康德乐大药房阿康大药房
特发性皮肤钙化病,否,无传染性,西医药物治疗,10%,1-2个月,肾性甲状旁腺功能亢进及骨营...,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
外伤性脂肪坏死,否,无传染性,手术治疗、病因治疗、理疗,60%,2-4月,多见于中年女性,市三甲医院约8000--150000,健客大药房康德乐大药房阿康大药房
小儿多发性硬化,否,无传染性,Null,Null,Null,儿童多见,Null,健客大药房康德乐大药房阿康大药房
妊娠合并获得性免疫缺陷综合征,否,有传染性,尚无治愈方法,5%,1-3年,有静脉吸毒湿的孕妇、曾有多...,市三甲医院约（50000——100000元）,健客大药房康德乐大药房阿康大药房
反应性浆细胞增多症,是,无传染性,支持疗法,10%,10-30天,所有人群,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
萎缩性毛周角化病,否,无传染性,药物治疗,10%,10天,常染色体显性遗传人群,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
溶血性链球菌性坏疽,否,无传染性,药物治疗,20%,10-15天,成年多见,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
漆所致皮肤病,否,无传染性,病因治疗、对症治疗,60-80%,8-12周,所有人群,市三甲医院约（100-500元）,健客大药房康德乐大药房阿康大药房
半椎体畸形,是,无传染性,药物治疗、手术治疗,80%,Null,所有人,市三甲医院约10000-15000元,健客大药房康德乐大药房阿康大药房
拉休尤-格拉哈姆-利特尔综合征,否,无传染性,中医药物治疗、西医药物治疗,对症治疗为主，治愈率约为45%-55%,1-2年,30～70岁妇女,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
泛发性特发性毛细血管扩张,否,无传染性,中药治疗、西药治疗,40%，主要以对症治疗为主,3-6个月,多发生于40～50岁女性,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
红细胞生成性原卟啉病,否,无传染性,药物治疗,40%,3个月,儿童,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
间质性膀胱炎、局限性外阴炎和脱屑性阴道炎综合征,否,无传染性,药物治疗,30%-50%,3-6个月,以年轻妇女多见,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
扩张孔,否,无传染性,手术切除、电灼治疗,85%,1-2周,主要见于成年男性患者,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
睑皮松垂症,否,无传染性,药物治疗、手术治疗、,65%,Null,所有人群,市三甲医院约3000-6000元,健客大药房康德乐大药房阿康大药房
汞皮炎,否,无传染性,中医药物治疗、西医药物治疗,65%-80%,1-3个月,汞剂接触史患者,三市三甲医院约(5000--10000元),健客大药房康德乐大药房阿康大药房
小儿肠病性肢端皮炎,否,无传染性,中医药物治疗、西医药物治疗,60-70%,1-3个月,1周岁以内,不同医院收费标准不一致，市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
色素性口周红斑,否,无传染性,对症治疗、药物治疗,对症治疗，治愈率70%,1-6个月,本病多见于中年妇女,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
小棘毛壅病,否,无传染性,药物治疗,85%,3-5月,青年（19-29岁）壮年（30-39岁,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
毛鞘棘皮瘤,否,无传染性,中医药物治疗、西医药物治疗...,外科手术治愈率约为65%-80%,1-3个月,成年人,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
医源性多毛症,否,无传染性,病因治疗,80%,1-3个月,所有人群,市三甲医院约(1000--5000元),健客大药房康德乐大药房阿康大药房
镍皮炎,否,无传染性,西医药物治疗,70%,8-12周,女性,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
小儿结节性硬化症,否,无传染性,Null,Null,Null,儿童,Null,健客大药房康德乐大药房阿康大药房
海胆刺伤及海胆肉芽肿,否,无传染性,中医药物治疗、西医药物治疗,40%-70%,3-6个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
肾下垂,是,无传染性,手术治疗,50--70%,14--30天,多发于青年女性,不同医院收费标准不一致，市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
小儿豹皮综合征,否,无传染性,对本病征目前尚无特殊治疗,外科手术治愈率约为20%,3-5年，大部分需要终身治疗,儿童人群,不同医院收费标准不一致，市三甲医院约（1000-3000元）,健客大药房康德乐大药房阿康大药房
钴及其化合物引起的皮肤病,否,无传染性,支持疗法,50%,3个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
老烂腿,否,Null,Null,Null,Null,Null,Null,健客大药房康德乐大药房阿康大药房
痛性青紫综合征,否,无传染性,药物治疗,60%,1-3个月,多见于精神不正常的中年妇女,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
疤痕,否,Null,Null,Null,Null,Null,Null,健客大药房康德乐大药房阿康大药房
顶叶癫痫,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
胫骨结节骨软骨病,是,无传染性,药物治疗,外科手术治愈率约为85%,1个月,所有人群,不同医院收费标准不一致，市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
肠系膜上动脉压迫综合征,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
先天性肺囊肿,是,无传染性,手术治疗,>70%,2-4月,婴幼儿,不同医院收费标准不一致，市三甲医院约（10000-30000元）,健客大药房康德乐大药房阿康大药房
溃疡病穿孔,否,无传染性,西药治疗、手术治疗,98%,3-7周,胃肠溃疡病患者,市三甲医院约20000--30000元,健客大药房康德乐大药房阿康大药房
婴儿肢端脓皮病,否,无传染性,中医药物治疗、西医药物治疗,40%,3个月,婴儿,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
佩吉特病样网状细胞增生症,否,无传染性,放射治疗、药物治疗,20%,30天,男性多见,市三甲医院约10000--30000元,健客大药房康德乐大药房阿康大药房
洛博芽生菌病,否,无传染性,液氮冷冻疗法、CO2激光疗法、...,30-50%,1-3年,有外伤者,市三甲医院约（3000——10000元）,健客大药房康德乐大药房阿康大药房
房性心动过速,是,无传染性,药物治疗,90%,1-2周,无特殊发病群体,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
动静脉血管瘤,否,无传染性,手术治疗,10%,7-14天,多见于30岁～50岁的患者，男...,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
肠气肿综合征,否,无传染性,手术治疗、药物治疗,80%,7-10天,所有人群,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
腰椎小关节不稳症,否,无传染性,药物治疗、康复治疗、功能锻...,85%,3-5月,青壮年、老年人,市三甲医院约（600——1000元）,健客大药房康德乐大药房阿康大药房
小脑扁桃体下疝畸形,否,无传染性,手术治疗,80%,2-6周,所有人群,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
阿米巴肝脓肿,否,无传染性,药物治疗,30%,10-30天,所有人群,不同医院收费标准不一致，市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
结肠扭转,否,无传染性,手术治疗、高压盐水灌肠、钡...,70%,1个月,以老年男性多见,不同医院收费标准不一致，市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
膀胱结核,是,有传染性,药物治疗,治愈率89.3%,治疗周期9个月,所有人群,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
颈椎脱位,是,无传染性,Null,Null,Null,意外受伤人群,Null,健客大药房康德乐大药房阿康大药房
张力性气胸,是,无传染性,手术治疗,治愈率100%,治疗周期30天,年轻人,市三甲医院约（5000——8000元）,健客大药房康德乐大药房阿康大药房
急性出血坏死型胰腺炎,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
气管梗阻,是,无传染性,急救呼吸机支持、气管切开、...,20%,120天,有过敏史的患者多见,市三甲医院约（10000——20000元）,健客大药房康德乐大药房阿康大药房
胸壁软组织损伤,否,无传染性,药物治疗,80%-90%,2-4周,所有人群,市三甲医院约（500——2000元）,健客大药房康德乐大药房阿康大药房
色素沉着绒毛结节性滑膜炎,否,无传染性,手术治疗,30%,1-2个月,青壮年人群,市三甲医院约（70000——100000元）,健客大药房康德乐大药房阿康大药房
眼球破裂伤,否,无传染性,手术清创，缝合伤口,40%,2-4周,外伤、中青年车祸等斗殴事...,不同医院收费标准不一致，市三甲医院约（10000——20000元）,健客大药房康德乐大药房阿康大药房
乳糜胸,否,无传染性,药物治疗,40%,1-2个月,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
耳后骨膜下脓肿,是,无传染性,药物治疗、手术治疗,89%,7-14天,儿童人群,不同医院收费标准不一致，市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
腕舟骨骨折,是,无传染性,药物治疗,100%,Null,外伤者多发,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
网膜炎,否,无传染性,药物治疗,50%,1-3个月,所有人群,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
新生儿先天性胆道闭锁,否,无传染性,手术治疗药物治疗,85%,3-5月,新生儿,市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
腕舟状骨骨折,是,无传染性,手术治疗、药物治疗,65-70%,8-12周,青壮年,不同医院收费标准不一致，市三甲医院约10000--50000,健客大药房康德乐大药房阿康大药房
眼眶骨折,是,无传染性,手术治疗、药物治疗,80%,3-6月,所有人群,不同医院收费标准不一致，市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
急性水肿型胰腺炎,是,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
股骨骨折,是,无传染性,Null,Null,Null,意外受伤人群,Null,健客大药房康德乐大药房阿康大药房
脚气病性心脏病,是,无传染性,药物治疗,60%,1-3个月,所有人群,市三甲医院约2000-5000元,健客大药房康德乐大药房阿康大药房
婴幼儿脐疝,否,无传染性,一般可以自愈，2岁后不自愈...,100%,7天,是一种先天性发育缺陷性疾病...,市三甲医院约（500——5000元）,健客大药房康德乐大药房阿康大药房
等渗性脱水,否,无传染性,药物治疗,95%,3天,外科病人最易发生,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
血栓性浅静脉炎,否,无传染性,手术治疗、药物治疗、物理治...,70%,10-30天,中老年人群,市三甲医院约10000--30000,健客大药房康德乐大药房阿康大药房
艾滋病人的急性阑尾炎,否,无传染性,药物治疗、手术治疗,100%,7天,所有人群,市三甲医院约2000-4000元,健客大药房康德乐大药房阿康大药房
肠系膜上动脉栓塞,否,无传染性,药物治疗、手术治疗,70%,一个月,多见于风心病、冠心病、感染...,不同医院收费标准不一致，市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
急性肠梗阻,是,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
寰枢关节脱位,否,无传染性,手术治疗、颅骨牵引、石膏固...,治愈率78%,手术治疗周期7天,所有人群,不同医院收费标准不一致，市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
男性青春期乳房发育,否,无传染性,药物治疗、手术治疗,99.1%,Null,儿童期、青春期男性,市三甲医院约（400——2000元）,健客大药房康德乐大药房阿康大药房
乳房神经纤维瘤,否,无传染性,手术治疗,手术治愈率50-60%,3-6个月,女性,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
细菌性肝脓肿,是,无传染性,药物治疗、手术治疗,80%,30天,男性,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
颈部脊髓损伤,是,无传染性,对症治疗、手术治疗,1%,1-3个月,所有人群,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
尺骨鹰嘴骨折,是,无传染性,药物治疗、手术治疗、物理治...,80%,Null,成年人,市三甲医院15000--20000元,健客大药房康德乐大药房阿康大药房
心脏肿瘤,是,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
无睾症,否,无传染性,手术治疗、心理治疗,无法治愈,无法治疗,男婴幼儿,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
小儿血管瘤,否,无传染性,手术治疗、冷冻治疗、放射与...,84%,7天,新生儿,市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
血管肉瘤,否,无传染性,药物治疗支持性治疗,80%,3-6个月,任何年龄,市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
胃黏膜脱垂,否,无传染性,病因治疗,75%,1-3个月,30～60岁成年男性,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
肱骨骨折,是,无传染性,Null,Null,Null,意外受伤人群,Null,健客大药房康德乐大药房阿康大药房
白线疝,是,无传染性,药物治疗,80%,3周,20～50岁年龄多见,不同医院收费标准不一致，市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
脊髓栓系综合征,是,无传染性,手术治疗,外科手术治愈率约为70%,3-6个月,多见于新生儿和儿童,市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
桡骨骨折,是,无传染性,Null,Null,Null,老年妇女、儿童及青年。,Null,健客大药房康德乐大药房阿康大药房
颅骨缺损,是,无传染性,手术治疗,1%,1-3个月,所有人群,不同医院收费标准不一致，市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
胆源性慢性胰腺炎,否,无传染性,药物治疗,60%,8-12周,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
膈肌肿瘤,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
四肢血栓性浅静脉炎,否,无传染性,药物、手术治疗,60%,3个月,所有人群,不同医院收费标准不一致，市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
肘外翻,否,无传染性,保守治疗、手术治疗,外科手术治愈率约为50-80%,1-3个月,儿童,不同医院收费标准不一致，市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
缺血性坏死,否,无传染性,手术治疗、药物治疗,60%,10-30天,所有人群,不同医院收费标准不一致，市三甲医院约（4000——10000元）,健客大药房康德乐大药房阿康大药房
十二指肠淤积症,否,无传染性,药物治疗、手术治疗,80%,4-6周,所有人群,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
胸主动脉夹层动脉瘤,否,无传染性,手术治疗,3-5%,1-3个月,发病年龄大多数在40岁以上,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
脑瘫,是,无传染性,药物治疗、手术治疗,3%,1-6个月,新生儿,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
直肠损伤,是,无传染性,药物治疗、手术治疗,80%,7-10天,所有人群,不同医院收费标准不一致，市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
颅内占位性病变引起的头痛,否,无传染性,药物治疗支持性治疗,40%,1-2个月,所有人群,市三甲医院约（50000——100000元）,健客大药房康德乐大药房阿康大药房
绝经期关节炎,否,无传染性,药物治疗、生活调理,70%,8-12周,中老年女性,市三甲医院约10000--50000,健客大药房康德乐大药房阿康大药房
原发性硬化性胆管炎,否,无传染性,药物、手术、肝移植治疗,30%,30天,多数为30～50岁，男性多于女,不同医院收费标准不一致，市三甲医院约（30000——50000元）,健客大药房康德乐大药房阿康大药房
阴囊坏疽,是,无传染性,药物治疗、手术治疗,一般经过有效治疗后可以治愈,3-6周,男性,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
肝内血管瘤,否,无传染性,Null,Null,Null,任何年龄，以30～60岁多见,Null,健客大药房康德乐大药房阿康大药房
颧骨骨折,是,无传染性,手术治疗,80%,2--3个月,均可发病,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
上肢深静脉血栓形成,是,无传染性,药物治疗、手术治疗,30%,7-10天,中老年人群,市三甲医院约10000--30000,健客大药房康德乐大药房阿康大药房
小儿腹股沟斜疝,否,无传染性,疝带疗法、注射疗法、手术治...,86%,7-14天,小儿、新生儿,市三甲医院约（2000—5000元）,健客大药房康德乐大药房阿康大药房
化学烧伤,是,无传染性,对症治疗、药物治疗,20%,1-6个月,常接触化学物者,不同医院收费标准不一致，市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
成人骨坏死,否,无传染性,手术治疗、药物治疗、饮食治...,20%,4-6个月,成年人,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
母瘊子,否,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
敏感性皮肤,否,无传染性,Null,Null,Null,皮肤过敏者,Null,健客大药房康德乐大药房阿康大药房
幼年型类风湿性关节炎,是,无传染性,药物治疗手术治疗,75%,3-6月,任何年龄,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
wifi过敏,否,无传染性,Null,Null,Null,成年人,Null,健客大药房康德乐大药房阿康大药房
癣病,否,有传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
丑角鱼鳞病,否,无传染性,Null,Null,Null,胎儿,Null,健客大药房康德乐大药房阿康大药房
红痣,否,无传染性,Null,Null,Null,一般发生40岁左右成年人,Null,健客大药房康德乐大药房阿康大药房
类固醇后脂膜炎,否,无传染性,支持疗法,30%,4-6个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
Alagille综合征,否,无传染性,Null,Null,Null,男女均可发病,Null,健客大药房康德乐大药房阿康大药房
头皮毛囊炎,否,无传染性,Null,Null,Null,免疫力低下者，糖尿病患者,Null,健客大药房康德乐大药房阿康大药房
紫癜性皮炎,否,无传染性,Null,Null,Null,所有人,Null,健客大药房康德乐大药房阿康大药房
手汗症,否,无传染性,一般疗法、手术疗法、心理疗...,34%,Null,青少年,市三甲医院约1000-2000元,健客大药房康德乐大药房阿康大药房
慢性骨髓炎,是,无传染性,药物治疗,30-40%,1-2年,所有人群,不同医院收费标准不一致，市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
脓包型银屑病,是,无传染性,Null,Null,Null,青壮年,Null,健客大药房康德乐大药房阿康大药房
成人腹股沟斜疝,否,无传染性,手术治疗,90%,2周--6个月,成年男性多见,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
化脓性指头炎,否,无传染性,中医药物治疗、西医药物治疗,治愈率99%,治疗周期14天,成年人,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
先天自愈性朗格汉斯组织细胞增生症,否,无传染性,自愈,40-60%,1-2年,本病发生于婴儿及新生儿,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
急性心包炎,是,无传染性,药物治疗、手术治疗,70%,4周,无特殊发病群体,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
砷及其化合物引起的皮肤病,否,无传染性,药物治疗,60%,3个月,接触砷及其化合物人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
锁骨下动脉盗血综合征,是,无传染性,药物治疗,30%,3个月,中老年人,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
立克次体痘,否,有传染性,中医药物治疗、西医药物治疗,65%-75%,1-3个月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
妊娠合并硬皮病,否,无传染性,药物治疗,对症治疗为主，约20%可根治,3-6个月,所有人群,不同医院收费标准不一致，市三甲医院约（1000——10000元）,健客大药房康德乐大药房阿康大药房
制药业引起的皮肤病,否,无传染性,药物治疗、中药治疗,60%,1-2个月,制药相关工作人群,市三甲医院约1000--5000,健客大药房康德乐大药房阿康大药房
颅内低压性头痛,否,无传染性,对症治疗,70%,2-4周,腰穿放液过多,不同医院收费标准不一致，市三甲医院约500--1000,健客大药房康德乐大药房阿康大药房
鼻中隔穿孔,是,无传染性,手术治疗,98.3%,7天,所有人群,不同医院收费标准不一致，市三甲医院约（3000-5000元）,健客大药房康德乐大药房阿康大药房
变异型预激综合征,否,无传染性,药物治疗,射频消融治疗，治愈率60-70%,3-6个月,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
慢性颈部软组织损伤,否,无传染性,中医治疗、药物治疗、物理治...,80%,1-2个月,长期低头工作者,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
颈静脉球瘤,否,无传染性,手术治疗,经过系统治疗后，本病都80%以上都是系统康复,本病治疗周期在2周时间。,中老年人,市三甲医院约（7000-10000元）,健客大药房康德乐大药房阿康大药房
脾-肝综合征,否,无传染性,药物治疗、手术治疗,50%,3个月,35岁以下人群,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
海绵窦血栓,是,无传染性,药物治疗,60%,2个月,所有人群,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
小儿外部性脑积水,否,无传染性,手术治疗，无需治疗,10%,7-10天,发病年龄在1～1.5岁、前囟未...,市三甲医院约(5000---10000元),健客大药房康德乐大药房阿康大药房
颈腰综合征,否,无传染性,手术治疗、药物治疗,85%,3个月,成年人,市三甲医院约（3000——10000元）,健客大药房康德乐大药房阿康大药房
骶骼筋膜脂肪疝,否,无传染性,手术治疗、封闭疗法、物理治...,80%,30天,中老年肥胖女性,市三甲医院约（300——1000元）,健客大药房康德乐大药房阿康大药房
系统性红斑狼疮性关节炎,否,无传染性,Null,Null,Null,20～40岁的育龄期妇女,Null,健客大药房康德乐大药房阿康大药房
小儿先天性睾丸发育不全,否,无传染性,药物治疗手术治疗,40%,3-12个月,小儿,市三甲医院约(10000——30000元),健客大药房康德乐大药房阿康大药房
胸椎椎管狭窄症,否,无传染性,手术治疗、中医治疗,20%,1-2个月,中年男性,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
桡骨小头半脱位,否,无传染性,中医药物治疗、西医药物治疗,100%,3-5天,婴幼儿，男孩比女孩多见,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
毛孢子菌病,否,无传染性,药物治疗,70-80%,3-6个月,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
输尿管损伤,否,无传染性,药物、手术治疗,70%,7-14天,所有人群,不同医院收费标准不一致，市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
面神经损伤,是,无传染性,手术治疗、药物治疗、康复治...,40%(小于40%),3-6月,所有人群,不同医院收费标准不一致，市三甲医院约（2000——10000元）,健客大药房康德乐大药房阿康大药房
手足发绀症,否,无传染性,运动、中医、药物治疗,80%,7-10天,发病年龄多在20岁左右，以青...,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
多指畸形,否,无传染性,手术治疗,99%,14天,一出生就有,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
小儿室间隔缺损,否,无传染性,药物治疗、手术治疗,40%,14天,婴幼儿、多见于儿童或青少年...,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
习惯性髌骨脱位,是,无传染性,Null,Null,Null,儿童,Null,健客大药房康德乐大药房阿康大药房
色素绒毛结节性滑膜炎,否,无传染性,手术治疗放射治疗,75%,4-6周,20～40岁男性,市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
小儿尿道下裂,否,无传染性,手术治疗,60%,10-30天,小儿,市三甲医院约（5000——20000元）,健客大药房康德乐大药房阿康大药房
股疝,是,无传染性,手术治疗,98%,3-5月,40岁以上妇女,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
跟腱损伤,否,无传染性,Null,Null,Null,外伤史患者多见,Null,健客大药房康德乐大药房阿康大药房
腹部创伤,否,无传染性,药物治疗、手术治疗,80%,7天,所有人群,不同医院收费标准不一致，市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
颈椎后纵韧带骨化症,否,无传染性,手术治疗、药物治疗、康复治...,40%,3个月,50～60岁老人,不同医院收费标准不一致，市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
肛门异位,否,无传染性,中医药物治疗、西医药物治疗,外科手术治愈率约为70%,1-3年,所有人群,不同医院收费标准不一致，市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
小儿烧伤,否,无传染性,Null,Null,Null,小儿,Null,健客大药房康德乐大药房阿康大药房
孤立性直肠溃疡综合征,否,无传染性,Null,Null,Null,多见于青年人,Null,健客大药房康德乐大药房阿康大药房
胸椎黄韧带骨化症,否,无传染性,手术治疗、药物治疗,80%,2-4月,大多在中年以后发病、本病多...,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
结核性心包炎,是,无传染性,药物治疗,60-70%,2年,所有人群,市三甲医院约（1000-3000元）,健客大药房康德乐大药房阿康大药房
血胸,是,无传染性,手术治疗,10%,3-10天,无特殊发病群体,不同医院收费标准不一致，市三甲医院约（2000-5000元）,健客大药房康德乐大药房阿康大药房
肠系膜脂肪炎,否,无传染性,药物、中医治疗,75%,8-12周,所有人群,市三甲医院约（6000——10000元）,健客大药房康德乐大药房阿康大药房
腹内疝,是,无传染性,药物治疗、手术治疗,95%,Null,所有人,市三甲医院约8000--12000元,健客大药房康德乐大药房阿康大药房
